Obesity data- http://www.cdc.gov/obesity/data/table-adults.html ( 2014),,,,,,,,,,,
,,,,,,,,,,,
MEDHHINC 2010- Median Household Income ( 2010),,,,,,,,,,,
"Fast-food restaurants/1,000 pop (% change), 2007-12- (PCH_FFRPTH_07_12)                              Farmers' markets/1,000 pop (% change), 2009-13 (PCH_FMRKTPTH_09_13)                                    Grocery stores/1,000 pop (% change), 2007-12 (PCH_GROCPTH_07_12)                                   Supercenters & club stores (% change), 2007-12 ( PCH_SUPERC_07_12)                                 Convenience Stores ( % change), 2007-2012 (PCH_CONVSPTH_07_12)",,,,,,,,,,,
FIPS Code,State,POVRATE10,Obesity (%),MEDHHINC10,PCH_FFRPTH_07_12,,,PCH_FMRKTPTH_09_13,PCH_GROCPTH_07_12,PCH_SUPERC_07_12,Convenience stores
5039,AR,14.8,,31350,-48.72292475,5039,AR,-2.292478978,2.554150495,0,88.01594257
5041,AR,17.2,,29586,-8.894645941,5041,AR,91.42126636,-8.894645941,0,22.99222798
5043,AR,18.9,,34952,-12.73342048,5043,AR,,-33.51117751,-0.266766259,44.0591154
5045,AR,21.7,,46199,20.6498606,5045,AR,0,-4.485527025,-11.83279418,-47.54609274
5047,AR,11.9,,38514,-24.77971737,5047,AR,-47.56545835,-33.13752655,0,-9.735660848
5049,AR,17,,30191,14.88553337,5049,AR,0,-4.262055528,0,-20.21837961
5051,AR,21.8,,36690,8.52003206,5051,AR,0,-0.416911757,99.16617649,-54.28972999
5053,AR,15.3,,45347,-41.60124541,5053,AR,0,-51.33437118,,45.99688647
5055,AR,21,,36391,16.71454718,5055,AR,176.4506672,-6.628362255,-6.628362255,-50.2017932
5057,AR,18.2,,31786,-11.07138068,5057,AR,0,-40.71425379,3.750055871,38.33340783
5059,AR,18.6,,37243,1.763590266,5059,AR,0,11.30392685,,-15.19700811
5061,AR,25.8,,32543,14.112365,5061,AR,103.2527373,2.701128504,2.701128504,122.5191118
5063,AR,22.7,,35888,-2.892189962,5063,AR,-1.256532859,-20.09414488,-6.776502363,2.5458474
5065,AR,21.9,,29883,-3.287813567,5065,AR,-5.020503672,20.89023304,0,10.52821307
5067,AR,23.2,,30405,74.2625,5067,AR,,-51.59375,0,-51.59375
5069,AR,22.4,,35092,-14.10528273,5069,AR,-100,13.36161557,,44.9225199
5071,AR,37.5,,32326,-22.2727887,5071,AR,,-52.16786997,-4.335739933,4.361010982
5073,AR,28.5,,29084,55.41828924,5073,AR,0,-74.09695179,0,81.32133745
5075,AR,17.8,,32869,-15.01629102,5075,AR,,-38.0327122,0,-0.852339525
5077,AR,17.1,,25944,4.75724354,5077,AR,,4.75724354,0,-100
5079,AR,12.4,,35070,-2.879228424,5079,AR,110.6580303,-2.879228424,0,-41.72753705
5081,AR,19.3,,37260,-20.19815775,5081,AR,92.99640941,-0.24769719,,-25.18577289
5083,AR,19.5,,36015,-4.803362038,5083,AR,0,-48.43515444,0,58.66106327
5085,AR,20.1,,50021,-3.902865479,5085,AR,98.47166706,-39.30707293,82.0787812,-11.99525575
5087,AR,25,,34547,-0.683924577,5087,AR,1.008222396,32.4214339,0,-36.79886109
5089,AR,26.6,,31438,-24.81440126,5089,AR,0,0.247464993,,-45.31956455
5091,AR,22.2,,37806,-13.02451158,5091,AR,0.255437727,-31.17591786,-1.67988266,-1.67988266
5093,AR,25.2,,32169,-11.90819348,5093,AR,1.633080107,-5.006992042,104.6003248,50.75813409
5095,AR,23.3,,28637,9.453244762,5095,AR,0,9.453244762,0,45.93765968
5097,AR,20.3,,32032,94.17558887,5097,AR,1.470118249,-51.45610278,0,-35.27480371
5099,AR,16.8,,32896,-21.58823529,5099,AR,,-47.7254902,0,248.496732
5101,AR,36,,30965,0,5101,AR,99.48663886,208.4219639,0,-58.87707148
5103,AR,21.2,,35971,2.468892739,5103,AR,,-35.95694204,,21.09960051
5105,AR,27.1,,39054,50.33368798,5105,AR,0,100.4449173,0,300.8898346
5107,AR,22.8,,26933,-39.74760805,5107,AR,-3.543897216,5.441685912,5.441685912,-38.49234988
5109,AR,17.7,,31569,44.41184316,5109,AR,,-22.98035032,0,28.36608281
